title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
John Wick: Chapter Two,7.5,Keanu Reeves,Riccardo Scamarcio,Ian McShane,https://www.imdb.com/title/tt4425200/,tt4425200,Chad Stahelski
Ride Along 2,5.9,Ice Cube,Kevin Hart,Tika Sumpter,https://www.imdb.com/title/tt2869728/,tt2869728,Tim Story
Scary Movie 4,5.1,Anna Faris,Regina Hall,Craig Bierko,https://www.imdb.com/title/tt0362120/,tt0362120,David Zucker
Get Hard,6.0,Will Ferrell,Kevin Hart,Alison Brie,https://www.imdb.com/title/tt2561572/,tt2561572,Etan Cohen
Scream 3,5.6,David Arquette,Neve Campbell,Courteney Cox,https://www.imdb.com/title/tt0134084/,tt0134084,Wes Craven
The Accountant,7.3,Ben Affleck,Anna Kendrick,J.K. Simmons,https://www.imdb.com/title/tt2140479/,tt2140479,Gavin O'Connor
Dumb and Dumber To,5.6,Jim Carrey,Jeff Daniels,Rob Riggle,https://www.imdb.com/title/tt2096672/,tt2096672,Bobby Farrelly
The Other Woman,6.0,Cameron Diaz,Leslie Mann,Kate Upton,https://www.imdb.com/title/tt2203939/,tt2203939,Nick Cassavetes
Eight Below,7.3,Paul Walker,Jason Biggs,Bruce Greenwood,https://www.imdb.com/title/tt0397313/,tt0397313,Frank Marshall
The Intern,7.1,Robert De Niro,Anne Hathaway,Rene Russo,https://www.imdb.com/title/tt2361509/,tt2361509,Nancy Meyers
Ray,7.7,Jamie Foxx,Regina King,Kerry Washington,https://www.imdb.com/title/tt0350258/,tt0350258,Taylor Hackford
Sin City,8.0,Mickey Rourke,Clive Owen,Bruce Willis,https://www.imdb.com/title/tt0401792/,tt0401792,Frank Miller
Bridge of Spies,7.6,Tom Hanks,Mark Rylance,Alan Alda,https://www.imdb.com/title/tt3682448/,tt3682448,Steven Spielberg
Vantage Point,6.6,Dennis Quaid,Forest Whitaker,Matthew Fox,https://www.imdb.com/title/tt0443274/,tt0443274,Pete Travis
"I Love You, Man",7.0,Paul Rudd,Jason Segel,Rashida Jones,https://www.imdb.com/title/tt1155056/,tt1155056,John Hamburg
Shallow Hal,6.0,Jack Black,Gwyneth Paltrow,Jason Alexander,https://www.imdb.com/title/tt0256380/,tt0256380,Bobby Farrelly
Big Momma's House 2,4.7,Martin Lawrence,Emily Procter,Nia Long,https://www.imdb.com/title/tt0421729/,tt0421729,John Whitesell
Angel Has Fallen,6.4,Gerard Butler,Frederick Schmidt,Danny Huston,https://www.imdb.com/title/tt6189022/,tt6189022,Ric Roman Waugh
