title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id
The Bronze,6.1,Melissa Rauch,Gary Cole,Haley Lu Richardson,https://www.imdb.com/title/tt3859304/,tt3859304
Trolljegeren,6.9,Otto Jespersen,Robert Stoltenberg,Knut Nærum,https://www.imdb.com/title/tt1740707/,tt1740707
Surveillance,6.3,Julia Ormond,Bill Pullman,Pell James,https://www.imdb.com/title/tt0409345/,tt0409345
La marche de l'empereur,7.6,Morgan Freeman,Romane Bohringer,Charles Berling,https://www.imdb.com/title/tt0428803/,tt0428803
La Tourneuse de Pages,7.0,Catherine Frot,Déborah François,Pascal Greggory,https://www.imdb.com/title/tt0487503/,tt0487503
Cidade de Deus,8.6,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,https://www.imdb.com/title/tt0317248/,tt0317248
Human Traffic,7.1,John Simm,Lorraine Pilkington,Shaun Parkes,https://www.imdb.com/title/tt0188674/,tt0188674
Entre les murs,7.5,François Bégaudeau,Agame Malembo-Emene,Angélica Sancio,https://www.imdb.com/title/tt1068646/,tt1068646
Beginners,7.2,Ewan McGregor,Christopher Plummer,Mélanie Laurent,https://www.imdb.com/title/tt1532503/,tt1532503
The Meddler,6.3,Susan Sarandon,Rose Byrne,J.K. Simmons,https://www.imdb.com/title/tt4501454/,tt4501454
Feast,6.2,Navi Rawat,Krista Allen,Balthazar Getty,https://www.imdb.com/title/tt0426459/,tt0426459
The Original Kings of Comedy,6.7,Steve Harvey,D.L. Hughley,Cedric the Entertainer,https://www.imdb.com/title/tt0236388/,tt0236388
Bowling for Columbine,8.0,Michael Moore,Charlton Heston,Marilyn Manson,https://www.imdb.com/title/tt0310793/,tt0310793
Martin Lawrence Live: RunTelDat,5.3,Martin Lawrence,Nancy O'Dell,Paul Keeley,https://www.imdb.com/title/tt0327036/,tt0327036
Pokemon 3: The Movie,5.8,Veronica Taylor,Eric Stuart,Rica Matsumoto,https://www.imdb.com/title/tt0235679/,tt0235679
Dave Chappelle's Block Party,7.2,Dave Chappelle,Yasiin Bey,Lauryn Hill,https://www.imdb.com/title/tt0425598/,tt0425598
East is East,6.9,Om Puri,Linda Bassett,Jordan Routledge,https://www.imdb.com/title/tt0166175/,tt0166175
Frances Ha,7.4,Greta Gerwig,Mickey Sumner,Adam Driver,https://www.imdb.com/title/tt2347569/,tt2347569
Thirteen Conversations About One Thing,7.0,Alan Arkin,John Turturro,Matthew McConaughey,https://www.imdb.com/title/tt0268690/,tt0268690
Tsotsi,7.2,Presley Chweneyagae,Mothusi Magano,Israel Matseke-Zulu,https://www.imdb.com/title/tt0468565/,tt0468565
DysFunkTional Family,6.5,Eddie Griffin,Joe Howard,Matthew Brent,https://www.imdb.com/title/tt0337996/,tt0337996
Damsels in Distress,5.8,Greta Gerwig,Adam Brody,Lio Tipton,https://www.imdb.com/title/tt1667307/,tt1667307
